tamano;ejecucion;tiempo_seg
400;1;0,022706
400;2;0,023084
400;3;0,023010
400;4;0,023250
400;5;0,022744
400;6;0,022796
400;7;0,022546
400;8;0,022945
400;9;0,022695
400;10;0,022817
600;1;0,075892
600;2;0,076906
600;3;0,076644
600;4;0,079784
600;5;0,081419
600;6;0,079661
600;7;0,076678
600;8;0,076995
600;9;0,076353
600;10;0,076156
800;1;0,182095
800;2;0,180297
800;3;0,180382
800;4;0,179561
800;5;0,179341
800;6;0,179611
800;7;0,179494
800;8;0,181520
800;9;0,179824
800;10;0,181352
1600;1;1,882021
1600;2;1,728323
1600;3;1,676930
1600;4;1,690645
1600;5;1,658696
1600;6;1,676573
1600;7;1,706701
1600;8;1,651132
1600;9;1,646274
1600;10;1,694383
3000;1;12,346949
3000;2;12,251044
3000;3;12,323326
3000;4;12,366906
3000;5;12,248344
3000;6;12,563998
3000;7;12,670823
3000;8;12,774008
3000;9;12,921574
3000;10;12,624480
3200;1;15,410337
3200;2;15,202228
3200;3;15,403819
3200;4;15,290779
3200;5;15,602203
3200;6;15,230491
3200;7;15,341991
3200;8;15,285658
3200;9;15,540379
3200;10;15,485459
