=== Pruebas por tamaño | matrizsecuencial.c | gcc -O3 ===
Tamaño: 400 | Ejecución 1 | Tiempo: 0.034492s
Tamaño: 400 | Ejecución 2 | Tiempo: 0.036322s
Tamaño: 400 | Ejecución 3 | Tiempo: 0.040264s
Tamaño: 400 | Ejecución 4 | Tiempo: 0.035483s
Tamaño: 400 | Ejecución 5 | Tiempo: 0.036643s
Tamaño: 400 | Ejecución 6 | Tiempo: 0.036696s
Tamaño: 400 | Ejecución 7 | Tiempo: 0.035554s
Tamaño: 400 | Ejecución 8 | Tiempo: 0.037313s
Tamaño: 400 | Ejecución 9 | Tiempo: 0.046634s
Tamaño: 400 | Ejecución 10 | Tiempo: 0.043510s
Tamaño: 600 | Ejecución 1 | Tiempo: 0.116689s
Tamaño: 600 | Ejecución 2 | Tiempo: 0.101144s
Tamaño: 600 | Ejecución 3 | Tiempo: 0.100869s
Tamaño: 600 | Ejecución 4 | Tiempo: 0.103019s
Tamaño: 600 | Ejecución 5 | Tiempo: 0.112604s
Tamaño: 600 | Ejecución 6 | Tiempo: 0.109405s
Tamaño: 600 | Ejecución 7 | Tiempo: 0.110846s
Tamaño: 600 | Ejecución 8 | Tiempo: 0.114682s
Tamaño: 600 | Ejecución 9 | Tiempo: 0.108852s
Tamaño: 600 | Ejecución 10 | Tiempo: 0.108395s
Tamaño: 800 | Ejecución 1 | Tiempo: 0.251902s
Tamaño: 800 | Ejecución 2 | Tiempo: 0.242964s
Tamaño: 800 | Ejecución 3 | Tiempo: 0.238628s
Tamaño: 800 | Ejecución 4 | Tiempo: 0.236824s
Tamaño: 800 | Ejecución 5 | Tiempo: 0.240357s
Tamaño: 800 | Ejecución 6 | Tiempo: 0.243376s
Tamaño: 800 | Ejecución 7 | Tiempo: 0.245755s
Tamaño: 800 | Ejecución 8 | Tiempo: 0.252111s
Tamaño: 800 | Ejecución 9 | Tiempo: 0.275992s
Tamaño: 800 | Ejecución 10 | Tiempo: 0.243631s
Tamaño: 1600 | Ejecución 1 | Tiempo: 2.217711s
Tamaño: 1600 | Ejecución 2 | Tiempo: 2.128265s
Tamaño: 1600 | Ejecución 3 | Tiempo: 2.154302s
Tamaño: 1600 | Ejecución 4 | Tiempo: 2.089971s
Tamaño: 1600 | Ejecución 5 | Tiempo: 2.172014s
Tamaño: 1600 | Ejecución 6 | Tiempo: 2.225102s
Tamaño: 1600 | Ejecución 7 | Tiempo: 2.177012s
Tamaño: 1600 | Ejecución 8 | Tiempo: 2.141688s
Tamaño: 1600 | Ejecución 9 | Tiempo: 2.182675s
Tamaño: 1600 | Ejecución 10 | Tiempo: 2.157422s
Tamaño: 3000 | Ejecución 1 | Tiempo: 14.226673s
Tamaño: 3000 | Ejecución 2 | Tiempo: 14.436980s
Tamaño: 3000 | Ejecución 3 | Tiempo: 14.264075s
Tamaño: 3000 | Ejecución 4 | Tiempo: 14.467316s
Tamaño: 3000 | Ejecución 5 | Tiempo: 14.329158s
Tamaño: 3000 | Ejecución 6 | Tiempo: 14.422074s
Tamaño: 3000 | Ejecución 7 | Tiempo: 14.317787s
Tamaño: 3000 | Ejecución 8 | Tiempo: 14.361286s
Tamaño: 3000 | Ejecución 9 | Tiempo: 14.299151s
Tamaño: 3000 | Ejecución 10 | Tiempo: 14.449156s
Tamaño: 3200 | Ejecución 1 | Tiempo: 17.821062s
Tamaño: 3200 | Ejecución 2 | Tiempo: 17.635548s
Tamaño: 3200 | Ejecución 3 | Tiempo: 17.767686s
Tamaño: 3200 | Ejecución 4 | Tiempo: 20.730794s
Tamaño: 3200 | Ejecución 5 | Tiempo: 23.059879s
Tamaño: 3200 | Ejecución 6 | Tiempo: 21.665853s
Tamaño: 3200 | Ejecución 7 | Tiempo: 23.174252s
Tamaño: 3200 | Ejecución 8 | Tiempo: 22.755545s
Tamaño: 3200 | Ejecución 9 | Tiempo: 22.990887s
Tamaño: 3200 | Ejecución 10 | Tiempo: 20.978565s
